[RUN #0 5 200]
807 -58 -701 -628 -317
757 941 959 435 -993
-482 -849 -645 147 858
618 729 -243 -504 495
556 955 519 -873 982
258 909 191 -108 -717
-406 112 -169 344 436
-929 -668 -671 -907 13
-789 56 -696 -409 103
645 803 499 -997 -327
-936 -993 -574 234 866
151 732 -458 -711 -281
-335 305 -509 241 -233
447 872 -709 -165 -674
-366 450 500 884 -302
-796 62 -364 396 394
-186 -460 -386 -487 -322
174 -223 -573 277 -410
501 636 150 156 -28
251 -625 -544 -912 478
-145 -338 -690 -132 349
-127 -144 432 -892 896
-209 -403 -894 -823 -433
11 461 -241 -935 886
705 -634 865 619 269
-249 -345 931 178 -93
693 -794 -949 287 412
-358 -701 -867 815 -42
704 -723 -978 829 666
527 6 -594 -404 191
235 184 613 357 267
-728 235 485 643 -786
-392 92 434 -949 725
400 -401 800 421 -794
-735 80 -617 -871 -316
-371 245 380 -105 -328
418 793 -143 -791 -627
-310 -885 774 447 660
-569 -759 797 778 -79
581 283 639 -278 417
555 -899 402 850 -317
-753 -85 839 430 541
-890 105 -51 693 195
481 -76 620 -367 730
386 -577 339 216 -475
246 -596 -590 -562 -636
897 936 -407 -194 -643
-113 -173 456 406 43
-40 -225 275 -339 -683
563 581 371 982 -823
12 -576 -544 -912 -737
109 140 -784 -211 376
-454 870 679 941 866
-386 987 -291 778 655
814 393 428 323 311
913 787 558 380 -367
-905 -888 -643 253 -588
48 159 -834 934 -334
975 -10 429 -597 389
-361 888 -273 -766 280
803 460 306 -549 -227
-116 -821 -722 590 -666
-479 -245 -758 146 647
-132 222 -519 -513 -362
-194 -982 957 -300 153
931 397 290 517 988
-32 515 -407 -691 752
376 74 -295 477 -860
616 931 -463 263 966
84 -870 -655 -279 -822
922 76 664 832 -193
30 258 576 -103 97
994 -90 374 746 84
244 -16 -572 -533 -500
-425 587 14 285 253
399 -882 -582 -433 -889
-385 -295 280 -809 718
519 -331 140 168 689
485 -629 -458 -990 -114
611 808 581 -678 -543
698 -34 849 -242 901
-255 225 479 592 -490
341 -524 -187 913 954
710 -769 -857 481 -411
289 732 297 -654 45
415 -612 342 -718 -280
984 553 -330 492 708
-439 105 534 35 618
551 460 547 -472 942
-931 -869 -357 371 -143
567 208 -123 -18 406
-462 -884 275 -826 -410
978 334 141 -239 462
-438 975 604 -734 576
467 847 625 378 750
[RUN #1 5 100]
651 554 -303 161 347
-692 -119 -186 9 -940
27 -687 260 -860 -991
-526 -788 -520 960 -224
2 -82 117 -162 -801
212 40 510 -119 452
963 -249 -276 715 -589
-753 664 389 286 958
861 -157 299 178 -353
874 876 522 114 -998
910 -598 368 -854 -219
5 -97 -756 459 26
-263 -554 818 950 229
668 818 24 950 151
728 884 -156 911 -966
534 -565 -728 131 201
[RUN #2 5 100]
-880 -432 -770 -644 -113
830 53 747 969 -487
-64 451 479 534 988
500 -18 -133 125 -745
-675 845 -695 -635 -702
-671 912 -849 -438 -15
717 352 748 686 -722
-894 964 251 54 530
-93 19 282 -36 676
650 -682 958 588 475
153 -562 960 401 -351
-608 -208 -163 -587 213
663 -128 397 321 -313
-525 874 181 251 -403
190 -510 -725 -334 -573
-1 -289 -487 -288 59
-126 891 571 -196 -575
274 849 -522 -710 672
338 486 -358 -604 794
270 -443 392 987 576
744 359 -847 -395 -754
640 -896 117 878 881
299 230 -235 666 574
-593 463 807 -483 -937
-353 93 -250 578 591
838 -85 904 -828 -644
741 752 917 691 868
271 -880 416 363 908
-630 -810 512 -59 556
443 -384 -638 -540 879
-647 42 -448 174 653
-149 480 -613 499 -10
-573 -393 -965 809 -16
817 -953 178 -384 -952
-745 -121 792 135 44
401 -430 -327 694 282
698 -753 601 204 -913
[RUN #3 5 100]
973 -148 636 660 345
182 181 997 -316 445
-345 89 -837 861 -105
121 979 730 -827 385
86 766 -818 942 -530
308 161 178 326 602
-146 448 241 -866 -791
199 -648 -372 890 -74
-978 125 243 -436 453
-662 -719 -952 21 -997
582 -409 80 -68 348
-32 -680 -839 -66 -841
441 -880 -843 -29 843
-909 187 910 -476 -363
178 -718 259 -531 -525
573 -753 474 883 -891
-583 611 -403 287 608
779 -752 760 -333 -994
44 -940 518 197 351
422 -746 -69 -41 -558
671 -567 296 983 749
413 -461 733 -485 162
596 670 -70 -984 -75
706 617 345 -299 145
-850 -357 299 86 -168
915 -587 757 785 -367
773 420 -263 -630 478
-17 41 -241 -800 444
485 -529 210 -195 882
685 -360 581 127 939
502 -679 -52 -874 -605
-557 -137 961 196 -289
-354 -299 131 372 -465
-676 -688 -53 -528 884
-33 -391 -523 574 87
-114 -665 -736 823 -950
-334 43 -29 174 55
87 -878 647 -160 -317
-623 141 -253 -642 253
713 -126 958 587 474
-281 -129 -761 -66 -611
-975 -619 179 612 -959
-932 774 -400 -730 -647
434 -350 -675 -31 -388
419 520 -194 -578 -580
-248 -433 579 894 117
-604 392 57 874 692
843 983 -282 594 654
-771 -659 562 908 281
468 391 -523 730 -698
-978 400 -646 -427 523
-963 -454 88 -194 473
-166 451 -61 -898 -986
427 185 -29 605 -358
626 -464 587 236 359
315 -294 910 -378 185
711 -862 -904 -493 663
969 -488 888 -729 -583
-175 -89 202 115 378
-724 -868 123 -987 -301
156 -773 -980 -916 -119
915 -946 136 460 933
-105 -954 976 -229 769
-397 -923 -11 229 626
32 695 966 473 616
428 -703 -456 -95 -835
478 -320 -266 962 -951
-698 319 122 -755 31
422 -176 -192 901 -306
-800 226 667 -664 793
-229 -330 -430 309 622
266 705 963 548 -762
-253 -646 917 142 596
-995 -368 -679 -612 788
365 -772 -470 893 984
-309 -990 -229 -299 -677
439 -197 -815 -45 -4
691 915 139 -408 978
-732 229 -865 735 -45
-16 26 339 156 145
-494 -384 199 -855 -114
-769 979 813 346 351
352 -882 -601 229 826
-185 83 881 -842 -406
269 699 418 -2 -111
750 135 570 -992 -649
913 -196 622 524 -736
-990 -982 -330 -325 75
751 -638 470 980 253
352 741 112 -53 -415
-594 357 958 -308 -415
290 53 -87 -196 -869
86 -206 -188 -863 -977
832 225 714 449 -200
-820 861 -642 749 766
962 474 174 167 465
-642 -900 887 -952 -141
-503 700 -956 -343 -512
-199 207 598 314 -48
520 -201 432 252 122
[RUN #4 5 100]
-759 376 -777 714 383
582 942 -666 306 -514
769 -959 930 597 891
120 -772 867 499 574
910 -635 -439 895 943
-91 -650 -859 -425 -519
-730 861 888 -51 305
767 -492 -442 -769 -76
-366 355 -842 558 -703
744 -465 573 -777 -251
-353 -53 -174 -508 -76
-473 -535 345 312 -765
306 -123 220 561 -146
791 310 288 -311 82
774 -785 -229 391 442
-160 524 311 -242 -282
-478 -402 -794 689 529
304 391 401 106 904
-94 981 742 -679 714
751 312 770 816 -748
-235 -742 -768 -394 -2
630 644 481 -415 -699
34 -986 57 684 594
601 -937 -21 -280 -582
-869 -555 19 505 234
701 -997 -735 -855 -14
-569 419 -397 -883 407
-135 583 -491 869 820
468 104 239 20 -44
-630 -359 -375 -410 -50
884 -810 -91 -800 385
306 -189 88 -484 857
300 552 -251 -857 -71
675 -20 -74 446 -424
-195 937 453 560 757
351 -915 426 -501 176
859 -833 993 -710 -142
-719 549 989 374 858
-27 -518 694 816 -335
-841 452 614 -518 -468
-88 170 435 -361 427
472 873 -649 -334 486
-635 858 -485 -328 -826
-495 117 259 484 723
247 -283 498 -83 -382
-366 371 -410 -893 -415
259 -218 885 -347 -56
-449 -451 86 -461 -336
-832 -694 597 535 -653
293 856 412 835 143
420 -205 -289 -66 185
249 -895 653 736 -881
-119 150 -488 205 137
-248 -496 -522 -838 -848
708 702 -340 283 611
735 -27 526 308 698
-69 -267 181 -873 -916
-922 902 -925 228 997
42 -940 842 -896 -396
195 -904 -936 -80 741
-310 787 -676 -150 853
-113 -660 -910 886 882
-595 -656 38 795 -415
-413 -651 920 -935 487
346 996 -433 -757 -765
172 239 769 -235 344
128 292 -925 -292 321
-900 -588 -946 285 518
-191 -840 -148 122 -677
378 399 -692 -228 -376
-133 -3 -956 -874 -899
423 222 135 564 -295
-573 484 451 527 54
-523 -580 544 -549 661
198 888 -63 502 931
-305 522 501 -27 667
-208 -445 148 841 909
-932 -287 529 -124 434
-634 535 -656 -523 -486
-732 -238 830 80 -533
-684 680 -884 -686 -468
-751 380 -241 -968 -868
-953 140 77 -723 -340
-849 -590 -806 34 -453
541 -819 -182 -176 764
-931 488 829 -877 130
401 -878 953 -749 826
-130 -668 -673 -777 699
-673 -358 94 56 572
33 567 -415 -394 -28
-284 -139 -45 -778 652
-169 -117 738 16 -344
-665 883 473 -585 238
899 -198 -670 690 -603
-981 -265 728 124 -609
62 435 -239 -124 -119
-340 -732 -253 48 389
-826 423 -168 -133 753
-527 -460 -126 -759 118
-318 -88 -425 -332 402
[RUN #5 5 100]
-721 790 -228 423 145
-352 -682 226 -972 744
530 -715 -898 791 -835
-797 -73 582 -638 -2
-571 794 931 -145 -498
346 -435 814 478 670
406 -191 -459 -886 -814
-161 381 -589 522 950
755 -577 -804 415 819
-575 -232 146 -349 -560
-458 23 923 448 690
-747 -538 689 624 904
230 -252 -363 96 986
-538 228 280 623 404
-501 -368 -275 -239 -557
70 224 -134 640 -752
-552 177 927 75 569
310 -33 -839 -561 -954
-405 856 294 -305 -493
-601 549 537 854 195
69 -418 413 -755 -298
-218 -350 -412 -319 -409
78 -762 -263 802 778
-313 -416 443 -865 725
-109 -389 -88 -175 -897
-281 122 263 71 -503
235 -163 244 -433 -544
996 671 846 -272 -643
310 482 576 -710 -342
-113 715 -104 -178 -471
-531 334 -469 169 623
-774 -96 -923 -456 168
-690 -609 393 413 -914
-285 368 -818 32 -5
976 -438 -620 421 419
-632 -283 692 71 301
-52 -579 493 -804 -847
314 665 -668 -247 -227
728 82 280 -680 -850
-563 74 643 864 262
709 -947 -440 -428 -807
-430 -985 -875 -158 -791
143 -915 572 753 520
-51 -251 100 233 758
-917 312 -503 -48 672
251 -576 565 278 -525
-37 -620 -616 -853 -447
-920 -192 -154 -993 -810
-66 285 -742 23 -213
-961 261 -791 -1000 -641
501 518 729 580 256
-366 -446 683 568 -617
-821 151 418 766 907
-475 341 33 -105 -866
419 -901 -479 -701 -358
954 310 -640 489 66
719 870 -642 884 -293
166 710 -849 -417 -898
604 164 -166 -444 -432
-544 -933 912 394 -53
-291 -195 903 462 645
-303 922 -395 123 421
696 -849 336 -602 -269
231 -723 409 -303 -730
827 -156 -879 447 -844
495 -824 785 715 432
836 -970 -971 -426 -54
725 139 -367 -873 -805
863 790 -291 -42 -998
968 512 -156 -727 330
-412 -974 747 -165 560
-338 563 867 -85 546
-303 -735 -509 -264 -469
455 484 705 -25 -622
-729 166 -13 -655 650
-943 -977 -757 -845 26
-635 474 183 276 -745
-735 -49 -978 186 910
318 -848 731 176 -77
884 13 -174 -670 108
-935 -606 -900 -294 52
-877 592 909 30 791
-663 -783 241 27 -474
-925 -124 -328 848 -998
470 979 951 -360 139
666 -490 -330 101 335
310 -173 308 505 228
185 428 742 343 -31
788 2 -444 159 -338
-163 -329 -412 797 -910
374 -630 306 -871 -554
-29 -787 -393 -906 77
460 264 968 -637 -366
572 136 174 191 -964
908 -736 -375 -739 -583
529 -791 -210 923 -889
-755 -800 -158 -149 -70
-38 -592 -350 -196 -730
985 324 48 336 -207
470 995 264 54 -77
[RUN #6 5 100]
-378 -151 -562 -292 -598
318 952 -209 -341 -238
307 748 527 590 39
-794 -692 -80 -671 916
-206 735 877 111 284
951 -34 -831 378 412
-863 621 -299 -358 -72
580 -447 -235 965 -171
-521 79 -930 -882 -940
-56 -171 -619 -261 752
-977 252 -916 -689 -459
-154 968 -46 -794 -939
740 905 -322 688 825
855 471 287 -549 754
323 -142 575 -615 -154
-928 670 -678 700 63
713 683 170 -259 -430
806 72 178 -991 776
-94 -602 732 429 750
272 371 -475 928 480
880 -753 -745 259 625
-573 224 240 346 337
-624 -761 -737 781 -72
21 849 106 -527 656
742 -963 203 -540 -418
-937 767 -899 -121 -395
234 -383 165 404 325
-764 322 451 -508 497
786 17 -392 -471 -525
997 315 454 -506 338
-250 401 -947 355 542
929 500 -736 260 -707
574 -824 714 750 668
888 -218 542 725 -115
-478 41 -682 -729 -423
-418 689 -599 887 -159
-837 568 878 132 -688
583 -126 -19 241 -52
186 671 428 -413 364
-938 -995 -224 32 927
-449 323 166 846 -365
605 441 -222 502 782
391 50 -327 961 611
438 -671 302 -786 -637
625 349 190 685 171
211 42 917 409 -547
-143 390 -498 112 -279
428 -665 -861 699 -97
716 -18 -284 560 347
107 -573 899 -779 -26
99 -564 -645 -874 -941
-964 -908 -100 -137 86
398 141 -92 -836 -47
-690 -847 51 696 595
-870 781 -323 -97 498
-597 278 72 670 -841
-698 -551 -180 421 -17
157 -341 -92 -887 826
606 375 -713 -462 -136
255 -432 508 695 -605
829 841 665 -262 -821
-855 574 28 875 -849
-582 168 410 -50 757
566 656 494 856 841
-81 87 511 28 -64
828 717 -562 -602 -749
31 -920 73 366 -817
724 -322 -112 36 84
-839 -359 -746 -335 836
596 974 898 300 889
217 610 15 -173 -447
919 -637 592 -227 277
191 739 113 403 951
328 128 836 379 -685
213 -189 -821 751 29
59 -768 313 456 -789
-719 -291 -873 -463 414
-273 -481 -179 910 -194
11 -748 -194 -954 282
-118 749 488 -892 190
525 -503 700 -941 -908
522 -691 -538 -639 985
205 -775 986 -439 -158
914 514 -774 -503 -196
-533 636 988 680 -616
-870 68 200 721 -848
-131 702 780 -233 256
-724 471 284 422 585
916 978 -423 -394 -315
135 -324 -694 863 874
886 103 -179 126 -828
159 553 699 -655 756
-84 190 876 -478 825
-404 -932 856 41 -108
-798 -879 705 755 -578
852 -299 -86 -794 -413
-520 -849 -585 171 -722
-630 -517 278 22 -180
765 -456 -81 425 -919
-17 -648 -403 796 659
[RUN #7 5 100]
-177 -760 -67 960 634
-68 129 151 620 -846
610 -126 340 -517 826
86 721 -8 -758 -319
-221 464 -122 548 -423
312 -42 -615 -193 -26
125 -75 471 -472 -571
536 381 461 809 -343
28 607 -92 -336 846
-687 -55 -157 -75 601
-60 208 -943 -541 -366
-425 366 49 -953 -146
-778 -577 425 779 -317
-691 -910 568 204 566
522 -154 -811 669 578
453 -86 10 -253 -782
[RUN #8 5 100]
-412 -453 -672 -513 506
-47 374 -206 989 -687
-77 102 -830 884 469
-784 -107 743 -297 757
[RUN #9 5 100]
-88 460 893 -962 525
-98 -862 -10 129 -699
-855 301 -661 -159 -327
-728 -244 861 -559 277
641 -340 4 -243 783
2 -306 932 -834 257
-39 -451 6 933 -901
624 -451 34 -545 206
-32 -803 -881 -893 -940
-306 -642 -125 304 -210
-241 -998 71 -837 476
-760 -108 -687 -425 -329
755 -493 12 508 517
183 502 209 576 397
[RUN #10 5 100]
132 179 -90 71 -572
974 -569 -934 397 393
-850 25 -310 -399 -55
-340 -560 -457 -452 882
-521 840 528 -398 286
371 -14 -498 -880 283
129 -795 -597 824 -175
-33 590 54 -249 131
-749 549 616 620 505
-872 -579 -858 -570 691
722 756 691 135 -660
993 761 -793 571 -881
-729 888 -329 -570 624
-309 900 805 -567 236
-30 61 366 945 -712
872 592 -612 928 -702
740 386 319 791 -539
550 88 -834 262 -154
-788 -134 129 344 569
-56 -289 204 -842 687
632 408 186 203 908
-590 -40 475 -465 -591
343 -143 327 -914 -126
-909 -667 678 241 399
-13 -480 389 683 95
-209 -246 -379 -256 528
-128 -203 50 65 -233
-467 -284 279 -752 906
-162 -573 -272 162 -841
-519 -279 124 777 -659
600 564 -526 -421 492
-869 699 -219 648 -232
-385 84 623 -248 620
651 53 481 -113 732
12 193 -50 -980 -250
-230 938 824 -588 532
917 -592 -93 -742 -758
716 997 598 476 -623
-134 684 594 220 -610
[RUN #11 5 100]
22 -467 865 563 618
255 -655 8 602 -314
-884 761 -903 842 746
240 682 277 584 -817
309 -806 286 883 103
-35 -458 -742 -960 -981
549 981 88 526 533
-794 153 170 99 836
-454 -957 -877 704 -512
259 -167 272 -866 -174
598 780 396 381 -655
365 462 507 627 -978
392 -358 700 150 836
-108 -615 781 419 183
200 -135 -191 -598 -944
231 -260 -856 -349 864
-139 982 308 -822 442
-637 829 93 823 569
242 -858 -626 810 288
-165 -947 -589 -842 -594
-809 157 294 -923 -167
-808 593 -77 -930 554
185 912 -541 358 283
-726 -24 -418 -710 -120
[RUN #12 5 100]
-451 -69 486 -789 -705
57 895 -590 908 294
-321 994 13 761 775
14 12 -202 -562 -28
-245 -238 562 145 257
755 -848 534 763 -357
92 -336 140 642 -150
840 -158 363 -555 319
490 -302 302 837 -292
838 7 361 -262 -499
-875 -557 778 300 144
-729 567 -423 -271 -907
-580 -271 216 -631 -492
-743 -340 77 246 -662
706 146 -828 -682 -530
-56 889 -724 -593 672
923 -328 372 268 -741
725 -107 155 382 872
594 -338 419 -574 -414
-142 -579 -697 -129 262
260 647 -288 -833 -945
156 -106 -635 393 -427
-585 929 -814 962 651
504 -393 252 216 -373
-293 963 -132 516 973
645 -860 -810 -530 -127
601 -582 -884 -296 -724
189 -11 -575 932 -881
231 482 759 -244 417
1 -363 -632 525 -895
-511 573 457 168 750
256 -744 478 -251 454
-515 -565 -836 -132 -103
-557 -449 918 -430 366
701 -157 -905 176 -573
681 -22 -832 378 -60
-942 74 -390 -478 552
686 -541 306 -297 34
-10 -876 -460 996 -99
-737 581 43 -943 -407
-509 79 786 169 536
-852 496 -404 99 -79
759 -643 -707 663 -39
919 -946 509 -176 457
910 634 279 -87 -387
962 -485 -21 -981 227
-354 -717 428 -707 772
773 -307 144 -373 -581
459 -38 347 -794 -416
-771 -816 -913 -949 86
528 -659 462 513 -145
84 132 505 -399 342
609 392 -938 91 791
-191 614 643 771 -651
834 -549 56 -798 93
-272 728 488 387 196
84 -486 -148 -215 -339
509 -79 350 -874 -7
-769 582 -456 -945 134
-7 -215 -340 -830 -670
-516 292 267 -889 580
-160 100 -252 162 184
604 215 -233 -13 329
107 -876 971 647 -820
760 -754 25 -401 -118
-314 594 395 565 -309
-884 -428 -699 -374 -700
-31 -432 -510 909 -908
-268 702 24 503 -578
-689 627 -971 775 23
992 663 -864 790 -351
-176 858 -984 -368 -992
703 -52 353 486 863
80 -142 -852 -931 557
-151 -248 -172 635 77
109 -16 -129 -20 -818
321 -885 -983 -127 820
164 781 77 -939 19
-850 -492 -353 -945 -156
-542 560 -599 -765 -193
14 -603 982 -680 465
-951 -960 -76 -757 -554
-524 758 801 -636 273
-79 -850 324 -52 549
-135 10 -483 -964 383
956 368 -64 63 173
909 95 91 398 -101
-645 389 957 -834 788
-417 514 -898 622 -370
-90 -667 528 -573 654
-106 -573 597 265 -934
820 -847 -557 303 592
-464 -736 145 184 842
864 -54 421 -174 57
-198 -846 956 79 710
993 -398 618 -597 121
-616 -967 571 -149 27
-86 67 806 -238 576
-988 -930 -893 604 11
410 927 653 -500 -616
[RUN #13 5 100]
896 420 910 -683 70
419 -411 -967 598 451
698 -297 -898 -139 -299
-384 885 -945 -836 -24
456 545 937 425 837
-650 -384 379 636 378
504 191 261 141 186
-123 -208 -93 482 -235
-663 725 71 -845 342
441 543 -227 970 706
568 267 -289 -70 -171
145 981 -564 -786 597
955 -265 978 -42 570
-384 532 -522 750 625
20 708 406 877 916
-96 103 -807 -387 -907
-363 -996 408 -625 833
618 694 427 987 380
149 -437 -672 -199 -382
620 841 249 705 575
-337 215 134 -918 354
230 -634 436 514 -356
-874 210 -925 -453 904
799 -795 -514 -653 342
483 -151 138 471 422
497 -612 -748 -70 -475
-332 775 -239 864 736
-476 450 63 971 420
-821 -570 -78 -92 -137
-932 300 239 524 994
5 -404 -588 -929 893
175 -70 965 889 821
-490 -27 -199 -442 -234
282 -51 -515 -316 -538
-412 915 277 668 129
-42 -499 -280 449 -41
-940 366 737 813 -720
845 -98 807 964 -723
-266 -841 862 897 657
830 609 -721 813 -284
962 -16 -884 -436 170
563 -218 901 -45 406
558 -884 846 569 612
33 -501 738 914 -481
-518 779 207 -437 866
469 210 -820 -258 224
-282 20 -802 -839 -968
375 653 -921 -769 417
-106 -41 -555 477 85
238 -605 -363 -5 815
69 234 -654 686 258
491 766 785 -251 -383
465 -824 287 -640 -52
-364 -552 -64 518 569
683 746 169 -793 -581
970 -205 736 -314 135
389 802 -341 -766 -545
456 330 936 270 -178
401 -93 -779 748 -720
-588 -9 -25 845 -838
476 -203 959 846 741
-343 329 -870 -568 -99
727 735 -206 -579 -660
-809 519 614 -81 -742
749 -601 -522 534 138
1 -114 -375 -597 -191
928 554 -90 -269 -242
38 686 727 -59 551
-891 -964 970 -668 99
97 189 -995 727 898
704 870 865 -778 403
138 -981 744 489 218
666 -246 158 -446 -485
705 -734 130 86 472
834 68 -110 -391 -766
-124 -333 915 -679 -315
897 -687 290 385 604
59 634 -137 347 145
721 -316 -975 -112 799
860 271 -161 939 -883
-462 -838 -159 452 -158
-115 643 -987 662 541
20 384 -468 86 -702
-29 756 372 77 257
575 874 -538 -94 51
-36 -679 178 214 715
421 -188 657 -943 -885
996 -206 -715 872 -620
474 180 336 919 -538
892 276 -400 -378 995
-777 -906 -421 834 603
414 -301 220 -402 -276
-711 504 471 -324 -940
36 479 -879 -402 -684
-874 578 454 470 356
-691 858 -144 -94 -611
788 757 136 64 -915
-18 191 -197 410 727
591 -950 998 -226 -332
363 -678 -932 -699 -220
[RUN #14 5 100]
-776 608 675 981 201
-688 -500 -933 828 -193
-950 -32 -846 742 787
482 -726 -940 -920 703
180 -311 -222 -550 206
856 340 25 -417 -353
-325 -88 762 -31 671
864 420 -567 -93 -492
-322 772 212 -222 -925
489 783 232 537 554
-500 -639 -373 73 174
113 343 -476 836 199
922 -534 84 -878 -538
719 -345 992 951 345
677 -604 -265 993 146
-836 -413 -319 974 -62
978 354 -365 -45 595
-797 317 356 673 166
557 39 995 -6 29
-739 295 -394 601 806
-689 190 652 -665 364
935 -275 -235 -636 -308
-653 -240 -39 -933 643
591 -355 -794 -588 -153
447 821 -984 -624 -274
-223 -317 388 -617 -807
293 -674 -884 -942 587
944 -911 -843 -116 887
-209 9 -351 -195 -2
578 -614 -364 -879 -739
692 -782 743 530 344
110 611 870 -36 -564
-834 800 849 808 -763
124 694 -464 602 -935
478 -576 -885 810 -36
-624 -967 -139 -154 -517
-979 42 734 235 247
508 942 2 -665 844
-110 627 80 436 46
54 322 -286 272 323
-323 -505 642 -943 201
-946 -797 -728 -572 -565
72 100 -87 229 144
-755 165 969 300 853
-680 920 -716 843 -150
-347 509 900 296 929
345 -159 999 475 542
50 -829 19 -446 -797
-499 -972 -634 692 48
917 631 286 809 -422
-204 290 212 -424 -59
-225 -483 -120 903 -642
-788 -55 -634 701 -490
729 -597 -504 -10 -906
894 120 892 -130 -445
482 236 -383 -549 -1000
[RUN #15 5 100]
-992 183 245 757 774
-647 -269 591 991 558
-741 265 -226 988 795
-851 -986 -291 -57 295
-648 946 598 -754 -314
604 -483 34 -207 741
587 -521 287 530 -599
666 -907 825 755 -396
513 -62 -116 464 -537
562 -405 94 855 931
-661 -454 -324 -500 -883
978 662 879 -668 -882
787 -900 71 86 -192
-157 668 -707 -799 742
-140 938 400 454 448
[RUN #16 5 100]
-837 89 196 915 905
-911 -243 -811 -292 691
540 39 292 -710 962
-91 687 752 891 745
627 965 329 266 -387
-885 -632 -145 694 -148
99 596 -479 527 344
-459 95 846 776 917
901 -342 270 -232 710
37 -911 692 -691 -456
-532 937 855 484 819
697 804 -676 595 -237
735 407 -693 -651 666
144 201 -443 -983 780
335 32 -655 -97 -846
344 848 -180 -398 316
-860 -643 322 977 379
304 -110 796 133 -338
240 -487 -468 526 996
-270 -242 -551 453 668
-876 631 -209 266 140
-670 988 -888 602 715
422 267 750 812 780
-258 601 -779 283 -729
14 -484 -25 897 -882
827 -150 -453 -588 135
[RUN #17 5 100]
-422 -416 -713 129 -83
494 837 -761 -690 366
250 803 391 -411 32
-365 475 -258 -603 482
-677 624 363 -685 543
-308 506 56 392 -365
868 -916 -536 -13 -526
533 -18 189 -921 987
[RUN #18 5 100]
842 950 -396 639 -156
-524 679 819 961 -839
-608 41 -416 611 326
688 287 -632 266 -660
-233 -922 -533 -761 -156
-579 -726 -908 -855 533
633 -972 -700 183 -242
254 -685 492 -398 -763
-681 941 174 -678 971
88 -304 256 -809 238
19 -389 -749 890 797
906 221 -221 839 -549
-407 -366 968 19 753
982 171 -953 380 -202
387 71 36 -53 229
277 532 -177 186 691
803 488 -376 480 214
-954 371 237 921 134
354 470 648 407 799
657 773 -859 737 -994
-566 477 -820 589 481
483 713 692 -823 512
-114 -394 -953 -668 373
987 -232 231 463 763
-292 119 -212 -23 642
-43 -986 79 158 -846
-353 893 -204 824 895
705 671 416 -185 -5
973 -854 -225 898 -856
764 -58 915 669 427
-937 446 273 -41 19
-971 -853 -904 -417 735
-204 -873 15 -949 71
845 422 -157 10 451
404 -724 444 -76 733
-766 708 -881 -653 288
669 -490 -394 17 -937
879 -268 863 665 -164
-704 -253 -240 -79 -148
671 -952 893 386 -290
568 -519 558 -958 782
153 544 598 532 482
69 124 -739 -787 764
850 -599 -314 -679 664
-102 -586 258 -702 -303
761 -4 115 67 269
